90970a1: p=827, n=1, time: 31.251116991
90970c1: p=827, n=1, time: 37.0818428993
90970d1: p=827, n=1, time: 41.3472409248
90970e1: p=827, n=1, time: 41.5544221401
90970h1: p=827, n=1, time: 39.5944919586
90981a1: p=919, n=1, time: 37.6593880653
91042e1: p=929, n=1, time: 39.8374180794
91042g1: p=929, n=1, time: 30.3303148746
91100a1: p=911, n=1, time: 31.0848519802
91100b1: p=911, n=1, time: 34.9042730331
91100d1: p=911, n=1, time: 33.1907970905
91208b1: p=877, n=1, time: 35.0608491898
